id,date,summary,insights,follow_back_rate,like_rate,total_sent,total_follow_back,total_like,created_at
15,2026-04-13,送信251件。FB1件(0.4%)。DM返信2件(0.8%)。いいね0件(0.0%)。本日新規返信: takumiho_2023,"スコア15+: 送信36件 FB率0.0% 返信率0.0%
スコア10-14: 送信95件 FB率1.1% 返信率2.1%
スコア5-9: 送信5件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=37), posts(2%,n=129), fol_sweet(2%,n=130)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.398406374501992,0.0,251,1,0,2026-04-13 20:04:30
16,2026-04-14,送信251件。FB1件(0.4%)。DM返信3件(1.2%)。いいね0件(0.0%)。本日新規返信: y_wed26,"スコア15+: 送信36件 FB率0.0% 返信率2.8%
スコア10-14: 送信95件 FB率1.1% 返信率2.1%
スコア5-9: 送信5件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=37), date(3%,n=90), posts(3%,n=129)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.398406374501992,0.0,251,1,0,2026-04-14 20:04:16
17,2026-04-14,送信251件。FB1件(0.4%)。DM返信3件(1.2%)。いいね0件(0.0%),"スコア15+: 送信36件 FB率0.0% 返信率2.8%
スコア10-14: 送信95件 FB率1.1% 返信率2.1%
スコア5-9: 送信5件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=37), date(3%,n=90), posts(3%,n=129)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.398406374501992,0.0,251,1,0,2026-04-14 20:11:10
18,2026-04-15,送信251件。FB1件(0.4%)。DM返信3件(1.2%)。いいね0件(0.0%),"スコア15+: 送信36件 FB率0.0% 返信率2.8%
スコア10-14: 送信95件 FB率1.1% 返信率2.1%
スコア5-9: 送信5件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=37), date(3%,n=90), posts(3%,n=129)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.398406374501992,0.0,251,1,0,2026-04-15 20:04:24
19,2026-04-16,送信251件。FB1件(0.4%)。DM返信3件(1.2%)。いいね0件(0.0%),"スコア15+: 送信36件 FB率0.0% 返信率2.8%
スコア10-14: 送信95件 FB率1.1% 返信率2.1%
スコア5-9: 送信5件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=37), date(3%,n=90), posts(3%,n=129)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.398406374501992,0.0,251,1,0,2026-04-16 07:55:47
20,2026-04-16,送信251件。FB1件(0.4%)。DM返信3件(1.2%)。いいね0件(0.0%),"スコア15+: 送信36件 FB率0.0% 返信率2.8%
スコア10-14: 送信95件 FB率1.1% 返信率2.1%
スコア5-9: 送信5件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=37), date(3%,n=90), posts(3%,n=129)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.398406374501992,0.0,251,1,0,2026-04-16 20:04:16
21,2026-04-16,送信251件。FB1件(0.4%)。DM返信3件(1.2%)。いいね0件(0.0%),"スコア15+: 送信36件 FB率0.0% 返信率2.8%
スコア10-14: 送信95件 FB率1.1% 返信率2.1%
スコア5-9: 送信5件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=37), date(3%,n=90), posts(3%,n=129)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.398406374501992,0.0,251,1,0,2026-04-16 20:10:57
22,2026-04-17,送信251件中、FB1件(0.4%)、いいね1件(0.4%)、DM返信3件,"【2026-04-17 日次チェック】
■ 反応率サマリー
- フォローバック率: 0.4%（前回比: +0.0%）
- いいね率: 0.4%（前回比: +0.4%）
- DM返信数: 3件

■ 今回の新規検出
- my_wd2026: いいね（通知で1日前・3日前の2件いいね確認）→ DM送信先からの反応

■ 反応アカウントの特徴
- フォローバックした fukawedding2026: プレ花嫁・国際結婚アカウント、積極的に同士フォロー中
- いいね my_wd2026: WDサフィックスの典型的なプレ花嫁アカウント、複数投稿に反応
- DM返信3件（y_wed26, takumiho_2023, s_wg0909）: いずれもWD系アカウント

■ 反応が取りやすい傾向
- 「wd」「wedding」サフィックスのアクティブな花嫁アカウント
- フォロー/フォロワー比率が近いアカウント（相互フォロー積極的）
- 複数投稿にいいねするほど投稿をよく見ている層

■ 課題・提案
- 251件送信で FB1件(0.4%)は低め。リスト精度の向上が必要
- 広告経由フォロワー(sarahbaina)も出てきており、有料施策との相乗効果を確認
- 通知上の新規フォロワー（tt__12__26等）はDM送信リスト外 → オーガニック流入
- 新規送信対象の選定基準: 直近1週間に投稿あり・フォロワー200〜2000・WD系ハッシュタグ使用",0.398406374501992,0.398406374501992,251,1,1,2026-04-17 08:11:13
23,2026-04-17,送信251件。FB1件(0.4%)。DM返信3件(1.2%)。いいね1件(0.4%),"スコア15+: 送信36件 FB率0.0% 返信率2.8%
スコア10-14: 送信95件 FB率1.1% 返信率2.1%
スコア5-9: 送信5件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=37), date(3%,n=90), posts(3%,n=129)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.398406374501992,0.398406374501992,251,1,1,2026-04-17 20:04:30
24,2026-04-17,送信251件。FB1件(0.4%)。DM返信3件(1.2%)。いいね1件(0.4%),"スコア15+: 送信36件 FB率0.0% 返信率2.8%
スコア10-14: 送信95件 FB率1.1% 返信率2.1%
スコア5-9: 送信5件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=37), date(3%,n=90), posts(3%,n=129)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.398406374501992,0.398406374501992,251,1,1,2026-04-17 20:11:42
25,2026-04-18,送信254件。FB1件(0.4%)。DM返信3件(1.2%)。いいね1件(0.4%),"スコア15+: 送信36件 FB率0.0% 返信率2.8%
スコア10-14: 送信96件 FB率1.0% 返信率2.1%
スコア5-9: 送信7件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=38), date(3%,n=90), posts(3%,n=132)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.39370078740157477,0.39370078740157477,254,1,1,2026-04-18 20:04:10
26,2026-04-18,送信254件。FB1件(0.4%)。DM返信3件(1.2%)。いいね1件(0.4%),"スコア15+: 送信36件 FB率0.0% 返信率2.8%
スコア10-14: 送信96件 FB率1.0% 返信率2.1%
スコア5-9: 送信7件 FB率0.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=38), date(3%,n=90), posts(3%,n=132)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.39370078740157477,0.39370078740157477,254,1,1,2026-04-18 20:11:45
27,2026-04-19,送信316件。FB2件(0.6%)。DM返信3件(0.9%)。いいね1件(0.3%)。本日新規FB: ohk_wd7,"スコア15+: 送信37件 FB率0.0% 返信率2.7%
スコア10-14: 送信114件 FB率0.9% 返信率1.8%
スコア5-9: 送信50件 FB率2.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=60), wed(3%,n=172), date(3%,n=104)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.6329113924050633,0.31645569620253167,316,2,1,2026-04-19 20:04:21
28,2026-04-19,送信316件。FB2件(0.6%)。DM返信3件(0.9%)。いいね1件(0.3%),"スコア15+: 送信37件 FB率0.0% 返信率2.7%
スコア10-14: 送信114件 FB率0.9% 返信率1.8%
スコア5-9: 送信50件 FB率2.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=60), wed(3%,n=172), date(3%,n=104)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.6329113924050633,0.31645569620253167,316,2,1,2026-04-19 20:11:59
29,2026-04-20,送信316件。FB2件(0.6%)。DM返信3件(0.9%)。いいね1件(0.3%),"スコア15+: 送信37件 FB率0.0% 返信率2.7%
スコア10-14: 送信114件 FB率0.9% 返信率1.8%
スコア5-9: 送信50件 FB率2.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=60), wed(3%,n=172), date(3%,n=104)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.6329113924050633,0.31645569620253167,316,2,1,2026-04-20 20:04:20
30,2026-04-20,送信316件。FB2件(0.6%)。DM返信3件(0.9%)。いいね1件(0.3%),"スコア15+: 送信37件 FB率0.0% 返信率2.7%
スコア10-14: 送信114件 FB率0.9% 返信率1.8%
スコア5-9: 送信50件 FB率2.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=60), wed(3%,n=172), date(3%,n=104)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.6329113924050633,0.31645569620253167,316,2,1,2026-04-20 20:11:29
31,2026-04-21,送信316件。FB2件(0.6%)。DM返信3件(0.9%)。いいね1件(0.3%),"スコア15+: 送信37件 FB率0.0% 返信率2.7%
スコア10-14: 送信114件 FB率0.9% 返信率1.8%
スコア5-9: 送信50件 FB率2.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=60), wed(3%,n=172), date(3%,n=104)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.6329113924050633,0.31645569620253167,316,2,1,2026-04-21 20:04:15
32,2026-04-21,送信316件。FB2件(0.6%)。DM返信3件(0.9%)。いいね1件(0.3%),"スコア15+: 送信37件 FB率0.0% 返信率2.7%
スコア10-14: 送信114件 FB率0.9% 返信率1.8%
スコア5-9: 送信50件 FB率2.0% 返信率0.0%
スコアunscored: 送信115件 FB率0.0% 返信率0.0%
反応率TOP: url(5%,n=60), wed(3%,n=172), date(3%,n=104)
→ FB率低め。高スコアアカウント（paris/date/wed系）に集中を推奨。",0.6329113924050633,0.31645569620253167,316,2,1,2026-04-21 20:12:04
